before;after;filename;info;rating1;rating2
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-36-38_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-36-38_after.png;2022-01-10 00-36-38;nehuma mudança visual;Erro;False Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-38-54_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-38-54_after.png;2022-01-10 00-38-54;um termo perdeu a seleção no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-40-17_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-40-17_after.png;2022-01-10 00-40-17;voltou a tela anterior;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-45-28_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 00-45-28_after.pngy;2022-01-10 00-45-28;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-02-32_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-02-32_after.png;2022-01-10 01-02-32;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-04-27_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-04-27_after.png;2022-01-10 01-04-27;um termo perdeu a seleção no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-19-50_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-19-50_after.png;2022-01-10 01-19-50;voltou a tela anterior;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-24-29_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-24-29_after.png;2022-01-10 01-24-29;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-32-08_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-32-08_after.png;2022-01-10 01-32-08;voltou a tela anterior;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-37-08_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-37-08_after.png;2022-01-10 01-37-08;voltou a tela anterior;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-48-04_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-48-04_after.png;2022-01-10 01-48-04;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-54-32_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-54-32_after.png;2022-01-10 01-54-32;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-59-09_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 01-59-09_after.png;2022-01-10 01-59-09;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-09-20_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-09-20_after.png;2022-01-10 02-09-20;um termo perdeu a seleção no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-12-43_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-12-43_after.png;2022-01-10 02-12-43;voltou a tela anterior;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-19-14_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-19-14_after.png;2022-01-10 02-19-14;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-22-54_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-22-54_after.png;2022-01-10 02-22-54;voltou a tela anterior no background;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-27-56_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-27-56_after.png;2022-01-10 02-27-56;voltou a tela anterior;Perde estado;True Positive
amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-34-19_before.png;amirz.dngprocessor_5/dataloss/MainActivity/2022-01-10 02-34-19_after.png;2022-01-10 02-34-19;menu pop up;Menu popup Aplicativo;True Positive
