Brume Wallet;https://f-droid.org/en/packages/eth.brume.wallet/index.html;Meet the only Ethereum wallet with maximum privacy and security;https://f-droid.org/repo/eth.brume.wallet_520.apk;This version requires Android 9.0 or newer.;https://github.com/brumewallet/wallet;https://github.com/brumewallet/wallet/issues;0.6.520;have full network access <-> eth.brume.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Swiss Bitcoin Pay;https://f-droid.org/en/packages/ch.swissbitcoinpay.checkout/index.html;The simplest way to accept Bitcoin payments in your Business restaurant bar and othersSo simple to use1 Type the amount in your local currency2 Client scan the QR or tap a Lightning NFC Card3 PaidMaximum compatibilityThrough the same screen receive inBitcoin OnchainLightningLightningNFC cardsNoncustodialAfter clients have paid through Onchain andor Lightning the LightningBTC will be converted to OnchainBTC free of charge and will all be sent to your private wallet free of charge as configured in your accountYou charge 100 you receive 100;https://f-droid.org/repo/ch.swissbitcoinpay.checkout_380004.apk;This version requires Android 8.0 or newer.;https://github.com/SwissBitcoinPay/app;https://github.com/SwissBitcoinPay/app/issues;2.1.0;take pictures and videos <-> have full network access <-> control Near Field Communication <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> ch.swissbitcoinpay.checkout.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Tip Calculator;https://f-droid.org/en/packages/quest.faraday.tip_calculator/index.html;Dead simple tip calculator that computes tip based on the subtotal pretax Its also my first app so some things are missing that I dont know how to implement just yet;https://f-droid.org/repo/quest.faraday.tip_calculator_4.apk;This version requires Android 5.0 or newer.;https://lab.freak.university/KayFaraday/TipCalculator;None;1.1.0;
Taler Wallet;https://f-droid.org/en/packages/net.taler.wallet.fdroid/index.html;This app is a wallet for GNU Taler It is highly experimental and not ready for production use yetGNU Taler is a privacypreserving payment system Customers can stay anonymous but merchants can not hide their income through payments with GNU Taler This helps to avoid tax evasion and money launderingThe primary use case of GNU Taler is payments it is not meant as a store of value Payments are always backed by an existing currencyPayment are made after exchanging existing money into electronic money with the help of an Exchange service that is a payment service provider for TalerWhen making a payment customers only need a charged wallet A merchant can accept payments without making their customers register on the merchants WebsiteGNU Taler is immune against many types of fraud such as phishing of credit card information or chargeback fraud In case of loss or theft only the limited amount of money left in the wallet might be gone;https://f-droid.org/repo/net.taler.wallet.fdroid_434.apk;This version requires Android 7.0 or newer.;https://git.taler.net/taler-android.git/;https://bugs.gnunet.org/;0.12.0;view network connections <-> view Wi-Fi connections <-> take pictures and videos <-> change network connectivity <-> connect and disconnect from Wi-Fi <-> have full network access <-> control Near Field Communication <-> read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> net.taler.wallet.fdroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Currencies: Exchange Rate Calculator;https://f-droid.org/en/packages/de.salomax.currencies/index.html;Currencies is a simple and straightforward currency converterIt is not intended to be used for realtime financial business rather to be a handy companion eg on vacations The app supports all relevant currencies You can choose between several official exchange rate providers    frankfurterapp with over 30 currencies provided by the European Central Bank    OpenExchangerates contains over 160 currencies with hourly updates    InforEuro provides the European Commissionas official monthly accounting rates for the euro and over 150 corresponding conversion rates    Bank of Canada provides about 23 currency rates of the Canadian Central Bank    The Norwegian Central Bank Norges Bank lists some 40 exchange rates    The Russian Central Bank Bank Rossii gives probably the most reliable data of exchange rates to Russian Ruble Some 44 exchange rates are listed The UI is simple and pure Material 3 Design Exchange rate history Check out the chart for the past year to see how the currencies have developed Historical rates You can use rates from prior dates A major feature is the included calculator Useful eg if you want to split up a restaurant bill Fee calculator optionally add a customizable foreign exchange fee to all calculations Currencies is written for Android in Kotlin targeting Android 13 and supporting light and dark themes The app is adfree and doesnt spy on the user;https://f-droid.org/repo/de.salomax.currencies_12203.apk;This version requires Android 8.0 or newer.;https://github.com/sal0max/currencies;https://github.com/sal0max/currencies/issues;1.22.3;have full network access <-> de.salomax.currencies.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Money Manager Ex;https://f-droid.org/en/packages/com.money.manager.ex/index.html;A simple and easytouse application to manage personal finances bank accounts family budget and more The main goal is to provide a mobile implementation for an application we love to use on our desktop Money Manager EXFeatures Management of single transactions Account payee category and currency management Cloud storagebased synchronization including  Cloud storage such as Google Drive and Nextcloud Sync services like Syncthing   Support for SQLCipher encryption Compatibility with Desktop MMEX Repeating transactions Charts for reports;https://f-droid.org/repo/com.money.manager.ex_1036.apk;This version requires Android 5.1 or newer.;https://github.com/moneymanagerex/android-money-manager-ex;https://github.com/moneymanagerex/android-money-manager-ex/issues;2024.08.01;view network connections <-> run foreground service <-> have full network access <-> read the contents of your shared storage <-> run at startup <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> com.money.manager.ex.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Catima â Loyalty Card Wallet;https://f-droid.org/en/packages/me.hackerchick.catima/index.html;Stop the search for plastic reward cards during store or webshop checkoutScan barcodes to your device using its camera forget about cardsForget your wallet or keep it ultralight for valuablesWith this essential everyday carry EDC tool you can replace useless plastic with cash Avoid spying with very few permissions No Internet access and no ads Add cards or codes with names and customizable colours Manual code entry if there is no barcode to store or it cant be used Import cards and codes from files Catima FidMe Loyalty Card Keychain Stocard and Voucher Vault Make a backup of all your cards and transfer them to a new device if you want Share coupons exclusive offers promo codes or cards and codes using any app Dark theme and accessibility options for vision impaired users Made for everyone by the libre software community Localized handmade translations for 40 languages Gratis supported by community contributions Use study change and share it as you wish with all Not only Free Software  Open Source Copylefted libre software GPLv3 card managementSimplify your life and shopping and never lose a paper receipt instore payment gift card or airplane ticket againTake all your rewards and bonuses with you and save as you go;https://f-droid.org/repo/me.hackerchick.catima_137.apk;This version requires Android 5.0 or newer.;https://github.com/CatimaLoyalty/Android;https://github.com/CatimaLoyalty/Android/issues;2.31.0;take pictures and videos <-> read the contents of your shared storage <-> me.hackerchick.catima.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Unstoppable Crypto Wallet;https://f-droid.org/en/packages/io.horizontalsystems.bankwallet/index.html;Unstoppable wallet is purposely built as a decentralized management tool for cryptocurrenciesIt is engineered to serve privacyconscious individuals looking to manage and invest in Bitcoin Ethereum and other cryptocurrencies in a sovereign and professional mannerUnstoppable is built with the following in mind Capital Should Be Free  Itas built to provide users with genuinely independent control over their capital Capital Should Be Borderless  It works outside the traditional finance layer and acts as a Swiss knife to the world of decentralized finances DeFi Capital Should Be Private  It doesnat leak private data it has no means to track users and takes extra measures to ensure privacy on multiple layersIf the above rhymes well with you then Unstoppable is for you And we are here to focus on your unique needs and serve you in the best possible mannerWALLET FEATURES NonCustodial Multiwallet  Manage any number of cryptocurrencies across multiple portfoliostyle wallets in a noncustodial manner This wallet is like your own bank where you are the only client and the only one in charge Itas designed to keep assets secure and easy to restore even if the phone is stolen and tampered with Investment Oriented Wallet  Unstoppable brings unmatched cryptocurrency market analytics to your device advanced sorting curated categorization extensive search filtering and eventbased alerting features Universal Wallet  It supports all mainstream blockchains and is built in a standard compliant manner enabling users to use just one wallet app for everything crypto A Bitcoin Wallet  The wallet packs some of the most advanced Bitcoin features available SPV enabled BIP 4449848669 compliant Bitcoin timelocks custom transaction fees and more A DeFi Wallet  Full support for decentralized token swaps on Ethereum Binance Smart Chain Polygon Avalanche Solana and more Also the ability to interact with any smart contractpowered service on the blockchain via the WalletConnect protocol Ethereum Wallet  Full support for Ethereum blockchain its growing ecosystem of tokens ERC20 NFT tokens etc and other decentralized services such as ENS Ethereum Name Service Ethereum L2 Wallet  Artbitrum Optimism Polygon support Avalanche Wallet  Full support for Avalanche CChain blockchain Binance Wallet  Full support for original Binance Chain incl BEP2 and Binance Smart Chain Crypto Academy  The app includes two courses meant to onboard newcomers into the world of cryptocurrencies and the DeFi ecosystem in an easytodigest manner covering essential aspects of cryptocurrency security storage privacy transacting and exchanging Wallet for Privacy Coins  Fully supports major privacy coins ZCash DASH in an SPV manner One of the very few wallets capable of supporting fully shielded Zcash transactions as well as the ability to privatize Bitcoin transactions Decentralized Wallet  Designed to work with most major blockchains in a decentralized manner where an app doesnt depend on some server of a wallet provider to sendreceive transactions but interacts with blockchain networks directly Privacy Focused  Designed to allow for privacy even in the most privacybreaching scenarios There are no user accounts keeping your records no identity checks that risk exposing your financials to the world and no interaction with traditional finance layers The app is partially TOR enabled and VPN support coming soon Fully Open Source  The most transparent wallet application built to date The entire 4year production process of the app is openly accessible online along with 100 of its code for anyone to evaluate or reuse in other projects Verified and audited by third partiesBe Unstoppable;https://f-droid.org/repo/io.horizontalsystems.bankwallet_112.apk;This version requires Android 8.1 or newer.;https://github.com/horizontalsystems/unstoppable-wallet-android;https://github.com/horizontalsystems/unstoppable-wallet-android/issues;0.39.2;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> io.horizontalsystems.bankwallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
eXch.;https://f-droid.org/en/packages/io.github.pitonite.exch_cx/index.html;The community app for exchcx websiteApp features Import your current active orders into the app to track them inside the app Automatically check for order updates in background periodically sending you a notification of the new state or error Automatically check for order support chat messages sending you a notification when theres a new message Automatically request for order data to be deleted when the order is completed Allows you to keep the order data locally on your phone indefinitely Allows you to set an api key for requests if you have one Allows you to choose whether to use the onion address for connections or not Allows you to set a proxy for connections Allows you to set up notification for when reserves change The app is completely open sourceeXchcx features No registration Cloudflarefree No delays No hidden feesIf you have any problem or suggestion feel free to open an issue on our GitHub repohttpsgithubcompitoniteexchcxissues;https://f-droid.org/repo/io.github.pitonite.exch_cx_17000.apk;This version requires Android 7.0 or newer.;https://github.com/pitonite/exch_cx;https://github.com/pitonite/exch_cx/issues;1.3.3;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> show notifications <-> run at startup <-> prevent phone from sleeping <-> io.github.pitonite.exch_cx.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Green: Bitcoin Wallet;https://f-droid.org/en/packages/com.greenaddress.greenbits_android_wallet/index.html;Blockstream Green is a simple and secure Bitcoin wallet that makes it easy to get started sending and receiving Bitcoin and Liquidbased assets such as Liquid Bitcoin LBTC and Tetheras USDtBuilt by Blockstream one of the most securityfocused teams in the Bitcoin industry Blockstream Green is supported across multiple platforms and is designed for Bitcoin beginners and power users alikeEASY SETUPNo registration or personal details are required to get started just write down your recovery phrase and start making Bitcoin transactions right awayFASTER  CHEAPER BITCOIN TRANSACTIONSSmart fee estimation ensures your Bitcoin payments arrive on time without being charged excessive feesMULTILINGUALWe speak your language Green includes support for Brazilian Portuguese Chinese Simplified Dutch English French German Hebrew Italian Japanese Korean Russian Spanish Ukrainian Vietnamese And more to comeBITCOIN LAYER2 SUPPORTSend and receive Liquid Bitcoin LBTC Tetheras USDt and any other Liquidbased assets with a Liquid accountTWOFACTOR MULTISIG SECURITYUnique dualkey security with one key protected by twofactor authentication Multiple authentication options are available including Google Authenticator SMS and emailBitcoin power users will feel right at home with a wide range of advanced features and industryfirstsFEE CONTROLFully customizable transaction fees with replacebyfee support so that you can start low and adjust the fee if necessary Great for pushing through urgent transactions without overpayingHARDWARE WALLET SUPPORTIntegration with Blockstream Jade Ledger Nano S and X Trezor One and T see our help desk for latest compatibility across the various supported platformsTWOFACTOR THRESHOLDSRequire twofactor authentication for large payments only by setting a twofactor threshold Total payments up to the threshold can be completed without 2FAWATCHONLY WALLETSKeep an eye on your Bitcoin balances while on the go and receive payments from others without needing to grant payment permissions to your deviceTESTNET SUPPORTEasily make test transactions on Bitcoin testnetPRIVACYNo documents personal information or KYC required An email address is needed for wallet recovery purposes only Connect via Tor at the tap of a button no other apps neededCONNECT TO YOUR OWN NODEVerify transactions on your own full node with SPV support;https://f-droid.org/repo/com.greenaddress.greenbits_android_wallet_22000431.apk;This version requires Android 7.0 or newer.;https://github.com/blockstream/green_android;https://github.com/blockstream/green_android/issues;4.0.31;view network connections <-> pair with Bluetooth devices <-> access Bluetooth settings <-> connect to paired Bluetooth devices <-> discover and pair nearby Bluetooth devices <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> com.greenaddress.greenbits_android_wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Oinkoin;https://f-droid.org/en/packages/com.github.emavgl.piggybankpro/index.html;Oinkoin Money Manager makes managing personal finances easy and secure It is light and easy to use You need just few taps to keep track of your expenses Simplicity and Security are our two main drivers Oinkoin is an offline and adfree app Privacy caringWe believe you should be the only person in control of your data Oinkoin cares about your privacy therefore it works completely offline and without any ads No special permissions are required Save your batteryThe app only consumes battery when you use it no power consuming operations are performed in background StatisticsUnderstandable and clean statistics and charts;https://f-droid.org/repo/com.github.emavgl.piggybankpro_6059004.apk;This version requires Android 5.0 or newer.;https://github.com/emavgl/oinkoin;https://github.com/emavgl/oinkoin/issues;1.0.66;read the contents of your shared storage <-> com.github.emavgl.piggybankpro.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
